Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.4000E+03 .1177E+01 .7828E+00 .6946E+00 .3936E+01 .1695E+01
.4010E+03 .1214E+01 .7834E+00 .6973E+00 .4070E+01 .1741E+01
.4020E+03 .1270E+01 .8095E+00 .7002E+00 .4268E+01 .1814E+01
.4030E+03 .1232E+01 .7757E+00 .7030E+00 .4150E+01 .1753E+01
.4040E+03 .1225E+01 .7613E+00 .7053E+00 .4137E+01 .1737E+01
.4050E+03 .1201E+01 .7366E+00 .7075E+00 .4064E+01 .1697E+01
.4060E+03 .1146E+01 .6947E+00 .7103E+00 .3889E+01 .1613E+01
.4070E+03 .1171E+01 .7013E+00 .7131E+00 .3982E+01 .1641E+01
.4080E+03 .1195E+01 .7064E+00 .7149E+00 .4075E+01 .1671E+01
.4090E+03 .1312E+01 .7661E+00 .7172E+00 .4485E+01 .1829E+01
.4100E+03 .1067E+01 .6158E+00 .7197E+00 .3658E+01 .1483E+01
.4110E+03 .1250E+01 .7126E+00 .7221E+00 .4295E+01 .1731E+01
.4120E+03 .1326E+01 .7473E+00 .7248E+00 .4568E+01 .1830E+01
.4130E+03 .1269E+01 .7055E+00 .7265E+00 .4380E+01 .1746E+01
.4140E+03 .1301E+01 .7153E+00 .7290E+00 .4504E+01 .1785E+01
.4150E+03 .1305E+01 .7089E+00 .7314E+00 .4527E+01 .1784E+01
.4160E+03 .1285E+01 .6900E+00 .7341E+00 .4467E+01 .1750E+01
.4170E+03 .1281E+01 .6796E+00 .7361E+00 .4464E+01 .1740E+01
.4180E+03 .1251E+01 .6557E+00 .7381E+00 .4370E+01 .1694E+01
.4190E+03 .1275E+01 .6605E+00 .7403E+00 .4465E+01 .1722E+01
.4200E+03 .1208E+01 .6184E+00 .7422E+00 .4240E+01 .1627E+01
.4210E+03 .1395E+01 .7058E+00 .7444E+00 .4908E+01 .1873E+01
.4220E+03 .1364E+01 .6824E+00 .7465E+00 .4813E+01 .1828E+01
.4230E+03 .1185E+01 .5861E+00 .7486E+00 .4192E+01 .1584E+01
.4240E+03 .1291E+01 .6309E+00 .7504E+00 .4576E+01 .1721E+01
.4250E+03 .1333E+01 .6442E+00 .7527E+00 .4736E+01 .1771E+01
.4260E+03 .1260E+01 .6023E+00 .7552E+00 .4486E+01 .1668E+01
.4270E+03 .1244E+01 .5880E+00 .7570E+00 .4442E+01 .1644E+01
.4280E+03 .1284E+01 .5997E+00 .7586E+00 .4596E+01 .1693E+01
.4290E+03 .1209E+01 .5586E+00 .7612E+00 .4336E+01 .1588E+01
.4300E+03 .9802E+00 .4478E+00 .7631E+00 .3523E+01 .1284E+01
.4310E+03 .9061E+00 .4090E+00 .7644E+00 .3265E+01 .1185E+01
.4320E+03 .1434E+01 .6404E+00 .7669E+00 .5177E+01 .1870E+01
.4330E+03 .1301E+01 .5749E+00 .7688E+00 .4711E+01 .1693E+01
.4340E+03 .1177E+01 .5140E+00 .7702E+00 .4271E+01 .1528E+01
.4350E+03 .1356E+01 .5851E+00 .7716E+00 .4930E+01 .1757E+01
